0|,|623 355 582 617 265 162 498 289 169 137 405 693 399 842 698 335 266 14 177 415 381 693 48 328 461 478 439 473 851 636 739 374 698 494 504 656 575 754 421 421 791 200 103 718 569 |,|,
1|,|623 328 328 380 172 54 823 487 391 693 256 433 569 231 171 852 770 693 48 328 305 461 406 333 399 698 177 415 14 381 |,|,
2|,|708 328 328 380 172 470 455 693 256 514 569 231 113 256 693 852 328 328 380 172 300 320 842 698 149 338 266 521 415 381 693 700 830 273 332 |,|15 ,2 
3|,|48 697 91 399 28 400 478 809 623 697 538 265 478 284 498 289 399 698 335 266 477 300 381 693 38 582 623 697 382 382 363 397 455 |,|0 7 ,9 
4|,|411 657 399 698 17 36 575 548 435 142 51 519 421 569 183 693 380 136 363 556 698 432 449 177 415 381 693 477 767 809 712 477 767 37 11 693 430 698 251 391 |,|15 ,11 
5|,|852 261 669 105 259 160 362 341 639 693 747 750 399 842 837 161 372 14 177 415 693 623 328 411 204 399 842 698 160 338 177 415 832 14 381 |,|,
6|,|852 328 355 382 610 538 382 382 327 543 381 |,|,
7|,|8 266 627 93 333 832 47 693 380 598 200 737 470 290 693 380 834 809 342 809 257 654 832 47 693 852 328 566 357 659 439 697 582 162 498 289 169 405 |,|,
8|,|443 380 172 56 180 345 693 380 809 343 218 654 832 47 402 690 693 256 696 569 233 306 256 |,|,
9|,|623 328 554 232 461 204 399 842 698 177 832 14 381 |,|,
10|,|328 697 538 678 355 661 698 335 338 408 521 86 415 693 240 221 104 328 328 380 172 12 187 394 174 506 37 788 313 66 832 429 |,|0 1 2 ,2 
11|,|741 328 697 809 661 698 338 266 521 177 415 381 693 177 415 261 755 404 693 582 717 700 665 261 7 |,|0 2 7 9 ,2 
12|,|852 328 545 784 856 374 842 698 493 149 266 165 415 106 521 724 693 256 569 231 171 463 852 328 34 138 |,|11 ,2 
13|,|365 328 447 784 856 374 842 698 443 655 543 14 177 415 381 303 433 624 660 548 520 754 754 156 188 693 93 132 7 832 693 453 537 698 285 779 521 177 415 229 693 667 221 328 547 172 54 823 34 138 693 256 514 569 231 614 313 66 34 138 693 380 172 200 140 470 651 162 380 654 439 71 834 832 47 693 256 514 569 231 113 256 |,|11 ,0 2 
14|,|852 424 471 550 328 458 439 740 382 584 400 318 818 776 693 522 842 698 427 177 415 381 439 78 477 381 693 777 382 426 343 693 852 328 545 784 856 374 842 698 766 537 548 445 142 622 421 643 361 142 51 519 421 128 700 391 7 608 177 415 832 14 381 142 550 453 698 806 145 543 422 177 415 106 521 374 693 667 221 380 834 128 380 343 487 746 |,|11 ,0 2 
15|,|623 501 582 265 392 162 498 289 399 698 38 276 386 371 126 177 415 381 693 91 382 400 500 70 687 386 717 615 493 651 408 521 177 415 381 |,|,
16|,|623 328 344 380 256 851 636 89 647 374 469 774 624 806 229 679 281 693 624 421 836 294 442 415 679 281 |,|,
17|,|229 56 380 172 200 737 380 834 809 62 809 654 399 842 698 785 414 335 338 542 439 569 856 266 490 177 415 832 381 |,|16 ,5 10 
18|,|623 378 328 471 550 328 458 809 623 328 31 797 809 623 328 538 382 382 382 363 424 141 386 256 426 693 447 537 162 498 289 169 405 |,|,
19|,|48 328 697 661 809 621 499 300 698 290 338 521 177 415 693 852 328 105 259 831 362 399 734 698 162 498 289 177 534 415 381 |,|0 7 15 ,2 
20|,|380 834 809 343 543 66 832 47 197 690 693 256 514 231 614 313 66 34 138 |,|,
21|,|259 852 111 697 661 697 661 118 698 542 655 266 14 177 415 381 693 433 624 660 548 520 446 361 156 188 693 700 132 395 670 693 453 261 698 521 177 656 213 653 502 |,|7 9 ,0 2 
22|,|182 550 492 439 852 328 545 784 677 856 698 149 338 266 437 177 415 106 521 381 |,|11 ,2 
23|,|852 328 380 172 200 737 851 651 |,|,
24|,|48 328 697 661 19 363 809 328 380 172 320 363 439 48 328 545 784 856 374 698 785 504 149 266 521 177 415 381 693 350 172 809 380 654 439 380 834 66 56 180 345 693 256 133 514 97 231 113 256 574 852 328 697 382 698 33 735 382 327 514 381 |,|0 4 7 11 15 ,2 
25|,|623 328 357 789 437 238 160 552 809 259 511 693 779 583 261 758 422 182 789 399 177 415 832 14 693 484 206 209 439 689 357 550 117 832 195 693 177 415 832 14 693 539 12 764 231 143 21 693 623 328 697 355 316 661 762 842 698 338 266 521 177 415 381 693 700 132 145 7 693 299 177 415 145 755 404 |,|0 1 ,2 
26|,|332 501 732 38 582 397 794 693 506 667 91 400 478 646 581 78 477 |,|10 ,9 
27|,|353 328 290 380 419 789 582 717 380 834 439 160 380 508 786 809 26 293 343 654 399 698 88 436 177 415 832 14 381 693 700 543 395 176 693 623 328 538 354 382 579 488 12 534 487 |,|16 ,5 10 
28|,|852 328 550 328 343 37 842 698 335 60 338 266 14 177 415 381 |,|15 ,5 
29|,|386 829 697 355 582 91 382 399 400 478 698 125 779 615 177 415 693 700 243 99 78 357 477 693 673 221 91 382 579 488 12 591 487 374 667 221 380 136 363 171 54 823 34 138 693 256 514 569 231 171 623 770 333 358 380 136 363 399 556 698 313 66 637 272 177 415 |,|7 8 ,7 9 
